Sensor,Time/s,Reading
DN2 + DN4,1,-2817.65
DN2 + DN4,2,-1436.98
DN2 + DN4,3,-382.31
DN2 + DN4,4,59.35
DN2 + DN4,5,-134.98
DN2 + DN4,6,-611.65
DN2 + DN4,7,-580.98
DN2 + DN4,8,627.02
DN2 + DN4,9,469.35
DN2 + DN4,10,-1574.98
DN2 + DN4,11,-1526.65
DN2 + DN4,12,-1135.65
DN2 + DN4,13,-249.65
DN2 + DN4,14,-1449.31
DN2 + DN4,15,-768.31
DN2 + DN4,16,1292.69
DN2 + DN4,17,393.35
DN2 + DN4,18,-230.98
DN2 + DN4,19,-177.98
DN2 + DN4,20,17.69
DN2 + DN4,21,372.69
DN2 + DN4,22,246.35
DN2 + DN4,23,955.35
DN2 + DN4,24,287.02
DN2 + DN4,25,-246.65
DN2 + DN4,26,-1402.98
DN2 + DN4,27,-112.65
DN2 + DN4,28,-1161.65
DN2 + DN4,29,389.69
DN2 + DN4,30,3098.02
DN2 + DN4,31,843.35
DN2 + DN4,32,-434.31
DN2 + DN4,33,-1629.98
DN2 + DN4,34,-841.98
DN2 + DN4,35,-1068.31
DN2 + DN4,36,-1575.65
DN2 + DN4,37,902.35
DN2 + DN4,38,-1061.31
DN2 + DN4,39,568.69
DN2 + DN4,40,-463.65
DN2 + DN4,41,-1115.31
DN2 + DN4,42,-49.31
DN2 + DN4,43,390.35
DN2 + DN4,44,2556.69
DN2 + DN4,45,-1549.65
DN2 + DN4,46,-2067.98
DN2 + DN4,47,-698.65
DN2 + DN4,48,-113.98
DN2 + DN4,49,379.35
DN2 + DN4,50,184.02
DN2 + DN4,51,-1481.31
DN2 + DN4,52,-531.98
DN2 + DN4,53,-177.65
DN2 + DN4,54,690.69
DN2 + DN4,55,-582.98
DN2 + DN4,56,-1116.65
DN2 + DN4,57,-1168.65
DN2 + DN4,58,-1243.65
DN2 + DN4,59,-859.98
DN2 + DN4,60,3184.02
DN2 + DN4,61,454.35
DN2 + DN4,62,-806.65
DN2 + DN4,63,67.35
DN2 + DN4,64,-65.98
DN2 + DN4,65,-42.31
DN2 + DN4,66,-170.31
DN2 + DN4,67,-139.65
DN2 + DN4,68,16.69
DN2 + DN4,69,187.35
DN2 + DN4,70,-18.98
DN2 + DN4,71,15.35
DN2 + DN4,72,-137.98
DN2 + DN4,73,26.35
DN2 + DN4,74,-302.65
DN2 + DN4,75,37.35
DN2 + DN4,76,-63.98
DN2 + DN4,77,-368.65
DN2 + DN4,78,-66.31
DN2 + DN4,79,-82.31
DN2 + DN4,80,188.35
DN2 + DN4,81,-456.65
DN2 + DN4,82,0.35
DN2 + DN4,83,-197.65
DN2 + DN4,84,74.69
DN2 + DN4,85,-56.98
DN2 + DN4,86,-36.98
DN2 + DN4,87,231.69
DN2 + DN4,88,15.35
DN2 + DN4,89,-310.65
DN2 + DN4,90,8.02
DN2 + DN4,91,-4.98
DN2 + DN4,92,-129.31
DN2 + DN4,93,7.35
DN2 + DN4,94,-173.31
DN2 + DN4,95,-2.31
DN2 + DN4,96,-14.65
DN2 + DN4,97,8.02
DN2 + DN4,98,-198.65
DN2 + DN4,99,137.02
DN2 + DN4,0,3463.61
DN2 + DN4,1,-2726.39
DN2 + DN4,2,206.94
DN2 + DN4,3,-236.06
DN2 + DN4,4,236.94
DN2 + DN4,5,-477.06
DN2 + DN4,6,84.94
DN2 + DN4,7,311.27
DN2 + DN4,8,-81.06
DN2 + DN4,9,-374.39
DN2 + DN4,10,-2332.73
DN2 + DN4,11,-364.06
DN2 + DN4,12,2142.94
DN2 + DN4,13,122.27
DN2 + DN4,14,1233.61
DN2 + DN4,15,-393.39
DN2 + DN4,16,48.27
DN2 + DN4,17,-67.73
DN2 + DN4,18,78.27
DN2 + DN4,19,-792.73
DN2 + DN4,20,-726.73
DN2 + DN4,21,282.61
DN2 + DN4,22,67.27
DN2 + DN4,23,220.94
DN2 + DN4,24,124.27
DN2 + DN4,25,-579.73
DN2 + DN4,26,-1084.73
DN2 + DN4,27,485.27
DN2 + DN4,28,779.61
DN2 + DN4,29,-732.73
DN2 + DN4,30,527.61
DN2 + DN4,31,838.27
DN2 + DN4,32,-566.73
DN2 + DN4,33,-1676.06
DN2 + DN4,34,-740.39
DN2 + DN4,35,-319.06
DN2 + DN4,36,63.27
DN2 + DN4,37,-531.73
DN2 + DN4,38,-159.73
DN2 + DN4,39,-608.06
DN2 + DN4,40,-3111.73
DN2 + DN4,41,-2076.39
DN2 + DN4,42,-1116.06
DN2 + DN4,43,2622.27
DN2 + DN4,44,1618.94
DN2 + DN4,45,-667.73
DN2 + DN4,46,-448.73
DN2 + DN4,47,-155.06
DN2 + DN4,48,2321.94
DN2 + DN4,49,1413.27
DN2 + DN4,50,-1034.39
DN2 + DN4,51,-907.39
DN2 + DN4,52,636.94
DN2 + DN4,53,1024.94
DN2 + DN4,54,124.61
DN2 + DN4,55,-662.39
DN2 + DN4,56,155.61
DN2 + DN4,57,-920.39
DN2 + DN4,58,-2393.06
DN2 + DN4,59,-505.39
DN2 + DN4,60,-481.39
DN2 + DN4,61,2323.94
DN2 + DN4,62,1378.61
DN2 + DN4,63,610.27
DN2 + DN4,64,-2086.73
DN2 + DN4,65,247.27
DN2 + DN4,66,67.27
DN2 + DN4,67,-66.39
DN2 + DN4,68,-130.06
DN2 + DN4,69,18.61
DN2 + DN4,70,-17.06
DN2 + DN4,71,24.27
DN2 + DN4,72,-211.06
DN2 + DN4,73,47.61
DN2 + DN4,74,54.61
DN2 + DN4,75,-546.73
DN2 + DN4,76,-396.06
DN2 + DN4,77,-65.06
DN2 + DN4,78,-22.06
DN2 + DN4,79,-128.06
DN2 + DN4,80,88.61
DN2 + DN4,81,153.94
DN2 + DN4,82,167.94
DN2 + DN4,83,-12.39
DN2 + DN4,84,-134.73
DN2 + DN4,85,-40.06
DN2 + DN4,86,-234.06
DN2 + DN4,87,-21.73
DN2 + DN4,88,-361.39
DN2 + DN4,89,57.61
DN2 + DN4,90,-344.73
DN2 + DN4,91,44.27
DN2 + DN4,92,314.94
DN2 + DN4,93,66.94
DN2 + DN4,94,365.27
DN2 + DN4,95,-236.73
DN2 + DN4,96,103.61
DN2 + DN4,97,-111.39
DN2 + DN4,98,-583.39
DN2 + DN4,99,-90.06
DN2 + DN4,0,4437.09
DN2 + DN4,1,-1132.58
DN2 + DN4,2,-263.25
DN2 + DN4,3,95.75
DN2 + DN4,4,-173.25
DN2 + DN4,5,141.75
DN2 + DN4,6,-65.58
DN2 + DN4,7,-1267.25
DN2 + DN4,8,24.09
DN2 + DN4,9,118.09
DN2 + DN4,10,532.09
DN2 + DN4,11,-1135.91
DN2 + DN4,12,-1184.25
DN2 + DN4,13,-1085.25
DN2 + DN4,14,-1643.25
DN2 + DN4,15,-1020.58
DN2 + DN4,16,608.75
DN2 + DN4,17,-1158.58
DN2 + DN4,18,-321.91
DN2 + DN4,19,-942.25
DN2 + DN4,20,-351.58
DN2 + DN4,21,-159.25
DN2 + DN4,22,1466.42
DN2 + DN4,23,984.42
DN2 + DN4,24,2432.75
DN2 + DN4,25,-736.91
DN2 + DN4,26,-1591.91
DN2 + DN4,27,-572.25
DN2 + DN4,28,-378.25
DN2 + DN4,29,-668.91
DN2 + DN4,30,-496.91
DN2 + DN4,31,-1789.91
DN2 + DN4,32,-829.91
DN2 + DN4,33,-112.25
DN2 + DN4,34,-6.58
DN2 + DN4,35,1763.09
DN2 + DN4,36,-759.25
DN2 + DN4,37,-1876.91
DN2 + DN4,38,-576.25
DN2 + DN4,39,-762.91
DN2 + DN4,40,1809.42
DN2 + DN4,41,862.09
DN2 + DN4,42,288.42
DN2 + DN4,43,-385.25
DN2 + DN4,44,-580.91
DN2 + DN4,45,-455.58
DN2 + DN4,46,1313.09
DN2 + DN4,47,1389.75
DN2 + DN4,48,-166.58
DN2 + DN4,49,-643.91
DN2 + DN4,50,-745.58
DN2 + DN4,51,-679.25
DN2 + DN4,52,-1164.25
DN2 + DN4,53,-320.91
DN2 + DN4,54,-1478.25
DN2 + DN4,55,-2814.58
DN2 + DN4,56,-1445.25
DN2 + DN4,57,-237.91
DN2 + DN4,58,333.09
DN2 + DN4,59,-179.58
DN2 + DN4,60,-318.58
DN2 + DN4,61,528.42
DN2 + DN4,62,-1488.58
DN2 + DN4,63,-400.58
DN2 + DN4,64,-136.91
DN2 + DN4,65,63.42
DN2 + DN4,66,359.75
DN2 + DN4,67,-8.91
DN2 + DN4,68,-248.58
DN2 + DN4,69,14.42
DN2 + DN4,70,16.09
DN2 + DN4,71,207.42
DN2 + DN4,72,-213.58
