Sensor,Distance,Reading,,,,,,,,,,,,,,,,,,,,,,,,,
DN5,16,2400,,,,,,,,,,,,,,,,,,,,,,,,,
DN5,16,2392,,,,,,,,,,,,,,,,,,,,,,,,,
DN5,16,2396,,,,,,,,,,,,,,,,,,,,,,,,,
DN5,16,2392,,,,,,,,,,,,,,,,,,,,,,,,,
DN5,16,2396,,,,,,,,,,,,,,,,,,,,,,,,,
DN5,16,2392,,,,,,,,,,,,,,,,,,,,,,,,,
DN5,16,2392,,,,,,,,,,,,,,,,,,,,,,,,,
DN5,16,2396,,,,,,,,,,,,,,,,,,,,,,,,,
DN5,16,2400,,,,,,,,,,,,,,,,,,,,,,,,,
DN5,16,2400,,,,,,,,,,,,,,,,,,,,,,,,,
DN5,17,2392,,,,,,,,,,,,,,,,,,,,,,,,,
DN5,17,2392,,,,,,,,,,,,,,,,,,,,,,,,,
DN5,17,2396,,,,,,,,,,,,,,,,,,,,,,,,,
DN5,17,2392,,,,,,,,,,,,,,,,,,,,,,,,,
DN5,17,2392,,,,,,,,,,,,,,,,,,,,,,,,,
DN5,17,2396,,,,,,,,,,,,,,,,,,,,,,,,,
DN5,17,2392,,,,,,,,,,,,,,,,,,,,,,,,,
DN5,17,2392,,,,,,,,,,,,,,,,,,,,,,,,,
DN5,17,2392,,,,,,,,,,,,,,,,,,,,,,,,,
DN5,17,2392,,,,,,,,,,,,,,,,,,,,,,,,,
DN5,18,2396,,,,,,,,,,,,,,,,,,,,,,,,,
DN5,18,2396,,,,,,,,,,,,,,,,,,,,,,,,,
DN5,18,2396,,,,,,,,,,,,,,,,,,,,,,,,,
DN5,18,2396,,,,,,,,,,,,,,,,,,,,,,,,,
DN5,18,2388,,,,,,,,,,,,,,,,,,,,,,,,,
DN5,18,2392,,,,,,,,,,,,,,,,,,,,,,,,,
DN5,18,2392,,,,,,,,,,,,,,,,,,,,,,,,,
DN5,18,2388,,,,,,,,,,,,,,,,,,,,,,,,,
DN5,18,2388,,,,,,,,,,,,,,,,,,,,,,,,,
DN5,18,2388,,,,,,,,,,,,,,,,,,,,,,,,,
DN5,19,2396,,,,,,,,,,,,,,,,,,,,,,,,,
DN5,19,2388,,,,,,,,,,,,,,,,,,,,,,,,,
DN5,19,2388,,,,,,,,,,,,,,,,,,,,,,,,,
DN5,19,2392,,,,,,,,,,,,,,,,,,,,,,,,,
DN5,19,2388,,,,,,,,,,,,,,,,,,,,,,,,,
DN5,19,2392,,,,,,,,,,,,,,,,,,,,,,,,,
DN5,19,2392,,,,,,,,,,,,,,,,,,,,,,,,,
DN5,19,2392,,,,,,,,,,,,,,,,,,,,,,,,,
DN5,19,2396,,,,,,,,,,,,,,,,,,,,,,,,,
DN5,19,2396,,,,,,,,,,,,,,,,,,,,,,,,,
DN5,20,2388,,,,,,,,,,,,,,,,,,,,,,,,,
DN5,20,2388,,,,,,,,,,,,,,,,,,,,,,,,,
DN5,20,2388,,,,,,,,,,,,,,,,,,,,,,,,,
DN5,20,2392,,,,,,,,,,,,,,,,,,,,,,,,,
DN5,20,2392,,,,,,,,,,,,,,,,,,,,,,,,,
DN5,20,2392,,,,,,,,,,,,,,,,,,,,,,,,,
DN5,20,2388,,,,,,,,,,,,,,,,,,,,,,,,,
DN5,20,2388,,,,,,,,,,,,,,,,,,,,,,,,,
DN5,20,2388,,,,,,,,,,,,,,,,,,,,,,,,,
DN5,20,2388,,,,,,,,,,,,,,,,,,,,,,,,,
DN5,22.5,2392,,,,,,,,,,,,,,,,,,,,,,,,,
DN5,22.5,2392,,,,,,,,,,,,,,,,,,,,,,,,,
DN5,22.5,2384,,,,,,,,,,,,,,,,,,,,,,,,,
DN5,22.5,2388,,,,,,,,,,,,,,,,,,,,,,,,,
DN5,22.5,2388,,,,,,,,,,,,,,,,,,,,,,,,,
DN5,22.5,2388,,,,,,,,,,,,,,,,,,,,,,,,,
DN5,22.5,2388,,,,,,,,,,,,,,,,,,,,,,,,,
DN5,22.5,2396,,,,,,,,,,,,,,,,,,,,,,,,,
DN5,22.5,2392,,,,,,,,,,,,,,,,,,,,,,,,,
DN5,22.5,2392,,,,,,,,,,,,,,,,,,,,,,,,,
DN5,25,2380,,,,,,,,,,,,,,,,,,,,,,,,,
DN5,25,2388,,,,,,,,,,,,,,,,,,,,,,,,,
DN5,25,2388,,,,,,,,,,,,,,,,,,,,,,,,,
DN5,25,2392,,,,,,,,,,,,,,,,,,,,,,,,,
DN5,25,2392,,,,,,,,,,,,,,,,,,,,,,,,,
DN5,25,2392,,,,,,,,,,,,,,,,,,,,,,,,,
DN5,25,2384,,,,,,,,,,,,,,,,,,,,,,,,,
DN5,25,2388,,,,,,,,,,,,,,,,,,,,,,,,,
DN5,25,2388,,,,,,,,,,,,,,,,,,,,,,,,,
DN5,25,2384,,,,,,,,,,,,,,,,,,,,,,,,,
DN5,30,2440,,,,,,,,,,,,,,,,,,,,,,,,,
DN5,30,2432,,,,,,,,,,,,,,,,,,,,,,,,,
DN5,30,2432,,,,,,,,,,,,,,,,,,,,,,,,,
DN5,30,2428,,,,,,,,,,,,,,,,,,,,,,,,,
DN5,30,2432,,,,,,,,,,,,,,,,,,,,,,,,,
DN5,30,2432,,,,,,,,,,,,,,,,,,,,,,,,,
DN5,30,2432,,,,,,,,,,,,,,,,,,,,,,,,,
DN5,30,2440,,,,,,,,,,,,,,,,,,,,,,,,,
DN5,30,2436,,,,,,,,,,,,,,,,,,,,,,,,,
DN5,30,2440,,,,,,,,,,,,,,,,,,,,,,,,,
DN2,8.7,932,,,,,,,,,,,,,,,,,,,,,,,,,
DN2,8.7,980,,,,,,,,,,,,,,,,,,,,,,,,,
DN2,8.7,976,,,,,,,,,,,,,,,,,,,,,,,,,
DN2,8.7,932,,,,,,,,,,,,,,,,,,,,,,,,,
DN2,8.7,936,,,,,,,,,,,,,,,,,,,,,,,,,
DN2,8.7,980,,,,,,,,,,,,,,,,,,,,,,,,,
DN2,8.7,976,,,,,,,,,,,,,,,,,,,,,,,,,
DN2,8.7,976,,,,,,,,,,,,,,,,,,,,,,,,,
DN2,8.7,976,,,,,,,,,,,,,,,,,,,,,,,,,
DN2,8.7,976,,,,,,,,,,,,,,,,,,,,,,,,,
DN2,10.0,1324,,,,,,,,,,,,,,,,,,,,,,,,,
DN2,10.0,1288,,,,,,,,,,,,,,,,,,,,,,,,,
DN2,10.0,1284,,,,,,,,,,,,,,,,,,,,,,,,,
DN2,10.0,1288,,,,,,,,,,,,,,,,,,,,,,,,,
DN2,10.0,1284,,,,,,,,,,,,,,,,,,,,,,,,,
DN2,10.0,1280,,,,,,,,,,,,,,,,,,,,,,,,,
DN2,10.0,1280,,,,,,,,,,,,,,,,,,,,,,,,,
DN2,10.0,1288,,,,,,,,,,,,,,,,,,,,,,,,,
DN2,10.0,1292,,,,,,,,,,,,,,,,,,,,,,,,,
DN2,10.0,1292,,,,,,,,,,,,,,,,,,,,,,,,,
DN2,11,1548,,,,,,,,,,,,,,,,,,,,,,,,,
DN2,11,1556,,,,,,,,,,,,,,,,,,,,,,,,,
DN2,11,1552,,,,,,,,,,,,,,,,,,,,,,,,,
DN2,11,1552,,,,,,,,,,,,,,,,,,,,,,,,,
DN2,11,1508,,,,,,,,,,,,,,,,,,,,,,,,,
DN2,11,1508,,,,,,,,,,,,,,,,,,,,,,,,,
DN2,11,1552,,,,,,,,,,,,,,,,,,,,,,,,,
DN2,11,1548,,,,,,,,,,,,,,,,,,,,,,,,,
DN2,11,1548,,,,,,,,,,,,,,,,,,,,,,,,,
DN2,11,1548,,,,,,,,,,,,,,,,,,,,,,,,,
DN2,12,1724,,,,,,,,,,,,,,,,,,,,,,,,,
DN2,12,1724,,,,,,,,,,,,,,,,,,,,,,,,,
DN2,12,1724,,,,,,,,,,,,,,,,,,,,,,,,,
DN2,12,1728,,,,,,,,,,,,,,,,,,,,,,,,,
DN2,12,1724,,,,,,,,,,,,,,,,,,,,,,,,,
DN2,12,1728,,,,,,,,,,,,,,,,,,,,,,,,,
DN2,12,1728,,,,,,,,,,,,,,,,,,,,,,,,,
DN2,12,1728,,,,,,,,,,,,,,,,,,,,,,,,,
DN2,12,1724,,,,,,,,,,,,,,,,,,,,,,,,,
DN2,12,1724,,,,,,,,,,,,,,,,,,,,,,,,,
DN2,13,1816,,,,,,,,,,,,,,,,,,,,,,,,,
DN2,13,1812,,,,,,,,,,,,,,,,,,,,,,,,,
DN2,13,1816,,,,,,,,,,,,,,,,,,,,,,,,,
DN2,13,1812,,,,,,,,,,,,,,,,,,,,,,,,,
DN2,13,1816,,,,,,,,,,,,,,,,,,,,,,,,,
DN2,13,1816,,,,,,,,,,,,,,,,,,,,,,,,,
DN2,13,1812,,,,,,,,,,,,,,,,,,,,,,,,,
DN2,13,1812,,,,,,,,,,,,,,,,,,,,,,,,,
DN2,13,1812,,,,,,,,,,,,,,,,,,,,,,,,,
DN2,13,1816,,,,,,,,,,,,,,,,,,,,,,,,,
DN2,14,1908,,,,,,,,,,,,,,,,,,,,,,,,,
DN2,14,1904,,,,,,,,,,,,,,,,,,,,,,,,,
DN2,14,1904,,,,,,,,,,,,,,,,,,,,,,,,,
DN2,14,1904,,,,,,,,,,,,,,,,,,,,,,,,,
DN2,14,1900,,,,,,,,,,,,,,,,,,,,,,,,,
DN2,14,1904,,,,,,,,,,,,,,,,,,,,,,,,,
DN2,14,1900,,,,,,,,,,,,,,,,,,,,,,,,,
DN2,14,1912,,,,,,,,,,,,,,,,,,,,,,,,,
DN2,14,1904,,,,,,,,,,,,,,,,,,,,,,,,,
DN2,14,1912,,,,,,,,,,,,,,,,,,,,,,,,,
DN2,15,1948,,,,,,,,,,,,,,,,,,,,,,,,,
DN2,15,1952,,,,,,,,,,,,,,,,,,,,,,,,,
DN2,15,1908,,,,,,,,,,,,,,,,,,,,,,,,,
DN2,15,1952,,,,,,,,,,,,,,,,,,,,,,,,,
DN2,15,1952,,,,,,,,,,,,,,,,,,,,,,,,,
DN2,15,1948,,,,,,,,,,,,,,,,,,,,,,,,,
DN2,15,1956,,,,,,,,,,,,,,,,,,,,,,,,,
DN2,15,1952,,,,,,,,,,,,,,,,,,,,,,,,,
DN2,15,1952,,,,,,,,,,,,,,,,,,,,,,,,,
DN2,15,1908,,,,,,,,,,,,,,,,,,,,,,,,,
DN2,16,1944,,,,,,,,,,,,,,,,,,,,,,,,,
DN2,16,1996,,,,,,,,,,,,,,,,,,,,,,,,,
DN2,16,1952,,,,,,,,,,,,,,,,,,,,,,,,,
DN2,16,1996,,,,,,,,,,,,,,,,,,,,,,,,,
DN2,16,1952,,,,,,,,,,,,,,,,,,,,,,,,,
DN2,16,1952,,,,,,,,,,,,,,,,,,,,,,,,,
DN2,16,1996,,,,,,,,,,,,,,,,,,,,,,,,,
DN2,16,1952,,,,,,,,,,,,,,,,,,,,,,,,,
DN2,16,1996,,,,,,,,,,,,,,,,,,,,,,,,,
DN2,16,1952,,,,,,,,,,,,,,,,,,,,,,,,,
DN2,17,1996,,,,,,,,,,,,,,,,,,,,,,,,,
DN2,17,1996,,,,,,,,,,,,,,,,,,,,,,,,,
DN2,17,1996,,,,,,,,,,,,,,,,,,,,,,,,,
DN2,17,1992,,,,,,,,,,,,,,,,,,,,,,,,,
DN2,17,1992,,,,,,,,,,,,,,,,,,,,,,,,,
DN2,17,1996,,,,,,,,,,,,,,,,,,,,,,,,,
DN2,17,1996,,,,,,,,,,,,,,,,,,,,,,,,,
DN2,17,2000,,,,,,,,,,,,,,,,,,,,,,,,,
DN2,17,2000,,,,,,,,,,,,,,,,,,,,,,,,,
DN2,17,1996,,,,,,,,,,,,,,,,,,,,,,,,,
DN2,18,1996,,,,,,,,,,,,,,,,,,,,,,,,,
DN2,18,1996,,,,,,,,,,,,,,,,,,,,,,,,,
DN2,18,1996,,,,,,,,,,,,,,,,,,,,,,,,,
DN2,18,1996,,,,,,,,,,,,,,,,,,,,,,,,,
DN2,18,1996,,,,,,,,,,,,,,,,,,,,,,,,,
DN2,18,1996,,,,,,,,,,,,,,,,,,,,,,,,,
DN2,18,1996,,,,,,,,,,,,,,,,,,,,,,,,,
DN2,18,1996,,,,,,,,,,,,,,,,,,,,,,,,,
DN2,18,1996,,,,,,,,,,,,,,,,,,,,,,,,,
DN2,18,1992,,,,,,,,,,,,,,,,,,,,,,,,,
DN2,19,1996,,,,,,,,,,,,,,,,,,,,,,,,,
DN2,19,1996,,,,,,,,,,,,,,,,,,,,,,,,,
DN2,19,1996,,,,,,,,,,,,,,,,,,,,,,,,,
DN2,19,1996,,,,,,,,,,,,,,,,,,,,,,,,,
DN2,19,1996,,,,,,,,,,,,,,,,,,,,,,,,,
DN2,19,1996,,,,,,,,,,,,,,,,,,,,,,,,,
DN2,19,1996,,,,,,,,,,,,,,,,,,,,,,,,,
